index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD),Number of Items Sold,Selling Price,City
254,Adidas,NMD_R1,Casual,Women,US 8.5,Pink,Primeknit,$130.00 ,57,$189.99,Palermo
255,Reebok,Floatride Energy 3,Running,Men,US 9,Black,Mesh,$100.00 ,71,$219.99,Naples
256,Converse,Chuck 70 High,Casual,Men,US 12,Green,Canvas,$85.00 ,40,$129.99,Rome
257,Puma,Calibrate Runner,Running,Women,US 9,White,Mesh,$90.00 ,14,$219.99,Florence
258,Vans,Era,Skate,Men,US 8.5,Black,Canvas,$50.00 ,84,$159.99,Catania
259,New Balance,FuelCell Rebel v2,Running,Women,US 7.5,Orange,Mesh,$130.00 ,52,$279.99,Genoa
260,Asics,Gel-Cumulus 23,Running,Men,US 11,Grey,Mesh,$120.00 ,11,$249.99,Rome
261,Fila,Mindblower,Fashion,Women,US 7,White,Leather/Synthetic,$65.00 ,46,$209.99,Genoa
262,Skechers,GOrun Mojo 2.0,Running,Men,US 8,Black,Mesh,$60.00 ,96,$299.99,Genoa
263,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,78,$259.99,Naples
264,Adidas,NMD_R1,Running,Women,US 8.5,Pink,Knit,$140.00 ,63,$209.99,Rome
265,Reebok,ZigWild Trail 7,Trail,Men,US 9.5,Black,Mesh/Synthetic,$110.00 ,81,$169.99,Florence
266,Converse,Jack Purcell,Casual,Women,US 7,Blue,Canvas,$65.00 ,71,$209.99,Turin
267,Puma,Calibrate Runner,Running,Men,US 10,Grey,Mesh,$90.00 ,56,$269.99,Naples
268,Vans,SK8-Hi,Skate,Women,US 6.5,Black/White,Canvas/Leather,$70.00 ,33,$149.99,Naples
269,New Balance,FuelCell Rebel v2,Running,Women,US 7,White/Pink,Mesh,$110.00 ,87,$189.99,Genoa
270,Asics,Gel-Kahana 8,Running,Men,US 8,Grey,Mesh,$85.00 ,46,$159.99,Bologna
271,Fila,Mindblower,Fashion,Women,US 7.5,White/Pink,Leather/Synthetic,$65.00 ,16,$299.99,Turin
272,Skechers,Max Cushioning,Running,Men,US 11,Black,Mesh,$85.00 ,81,$129.99,Rome
273,Nike,Air Max 2090,Running,Men,US 12,Black,Mesh/Synthetic,$150.00 ,52,$249.99,Bologna
274,Adidas,Superstar,Casual,Women,US 9.5,White/Black,Leather,$85.00 ,63,$149.99,Bari
275,Reebok,Nano 9,Training,Men,US 10,Blue,Synthetic,$130.00 ,57,$279.99,Florence
276,Converse,Pro Leather,Casual,Men,US 9.5,White/Green,Leather,$80.00 ,19,$129.99,Naples
277,Puma,RS-X³,Lifestyle,Women,US 8.5,Pink,Mesh,$110.00 ,6,$229.99,Turin
278,Vans,Slip-On,Casual,Men,US 10.5,Black/White,Canvas,$50.00 ,16,$149.99,Naples
279,New Balance,Fresh Foam More v3,Running,Men,US 12,Black/Grey,Mesh,$165.00 ,14,$259.99,Bologna
280,Asics,GT-1000 9,Running,Women,US 6.5,Blue,Mesh,$90.00 ,5,$199.99,Naples
281,Fila,T1 Mid,Casual,Men,US 11,White,Leather,$65.00 ,89,$279.99,Bologna
282,Skechers,Go Walk 5,Walking,Women,US 8.5,Black,Mesh,$60.00 ,99,$199.99,Milan
283,Nike,Blazer Mid '77,Casual,Men,US 8.5,Green,Leather,$100.00 ,81,$109.99,Bologna
284,Nike,Air Force 1,Casual,Men,US 9.5,White,Leather,$90.00 ,56,$199.99,Genoa
285,Adidas,NMD_R1,Lifestyle,Women,US 7,Black/Pink,Knit,$140.00 ,33,$239.99,Rome
286,Reebok,Nano X1,Crossfit,Men,US 10,Black,Mesh,$130.00 ,68,$289.99,Palermo
287,Converse,Chuck 70,Casual,Women,US 8.5,Ivory,Canvas,$85.00 ,94,$159.99,Bari
288,Puma,Calibrate,Running,Men,US 8.5,Grey,Mesh,$130.00 ,77,$179.99,Palermo
289,Vans,SK8-Hi,Skate,Men,US 9.5,Black/White,Canvas,$70.00 ,62,$249.99,Bari
290,New Balance,574,Casual,Women,US 7,Pink,Suede,$80.00 ,57,$249.99,Catania
291,Asics,Gel-Quantum 180 6,Running,Men,US 11,Black,Mesh,$120.00 ,8,$189.99,Bologna
292,Fila,Mindblower,Fashion,Women,US 8,White,Leather/Synthetic,$65.00 ,88,$229.99,Bologna
293,Skechers,Max Cushioning,Running,Women,US 7.5,Black,Mesh,$90.00 ,88,$259.99,Rome
294,Nike,Free RN Flyknit,Running,Men,US 10,Blue,Knit,$130.00 ,10,$179.99,Turin
295,Adidas,Adizero Boston 9,Running,Women,US 6.5,Black,Mesh,$120.00 ,36,$249.99,Palermo
296,Reebok,Zig Kinetica II,Running,Men,US 9,Blue,Mesh,$120.00 ,11,$219.99,Florence
297,Converse,Run Star Hike,Casual,Women,US 8.5,White,Canvas,$110.00 ,88,$149.99,Bologna
298,Puma,Ralph Sampson,Casual,Men,US 11,White/Green,Leather,$80.00 ,82,$249.99,Bari
299,Vans,Era,Skate,Women,US 7,Black,Canvas,$55.00 ,14,$199.99,Bologna
300,New Balance,990v4,Running,Men,US 10.5,Grey,Suede/Mesh,$175.00 ,13,$259.99,Genoa
301,Asics,Gel-Kayano 27,Running,Women,US 9,Black,Mesh,$160.00 ,67,$189.99,Turin
302,Fila,D-Formation,Fashion,Men,US 9,White,Leather,$70.00 ,20,$169.99,Naples
303,Skechers,D'Lites,Walking,Women,US 8,White,Leather,$65.00 ,15,$139.99,Palermo
304,Nike,Air Max 2090,Running,Men,US 9,Grey,Synthetic,$150.00 ,95,$239.99,Genoa
305,Nike,Air Force 1 Low,Casual,Men,US 9.5,White,Leather,$90.00 ,50,$139.99,Palermo
306,Adidas,NMD_R1,Lifestyle,Women,US 7.5,Pink/White,Primeknit,$130.00 ,29,$259.99,Florence
307,Reebok,Zig Kinetica II,Running,Men,US 11,Black,Mesh,$120.00 ,12,$179.99,Palermo
308,Converse,Chuck 70 High,Casual,Men,US 8.5,Cream,Canvas,$85.00 ,18,$269.99,Naples
309,Puma,Calibrate Runner,Running,Women,US 8,Black,Mesh,$90.00 ,88,$129.99,Rome
310,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,$70.00 ,81,$229.99,Florence
311,New Balance,327,Lifestyle,Women,US 6.5,White/Green,Suede/Mesh,$90.00 ,21,$179.99,Palermo
312,Asics,Gel-Quantum 90,Running,Men,US 10,Blue,Mesh,$90.00 ,57,$209.99,Milan
313,Fila,Original Fitness,Fashion,Women,US 7.5,White/Navy,Leather/Synthetic,$65.00 ,23,$149.99,Genoa
314,Skechers,Go Walk 5,Walking,Men,US 9,Grey,Mesh,$65.00 ,10,$269.99,Genoa
315,Nike,React Infinity Run Flyknit,Running,Women,US 8,Black,Flyknit,$160.00 ,98,$189.99,Catania
316,Adidas,Superstar,Casual,Men,US 8.5,White/Black,Leather,$85.00 ,18,$209.99,Catania
317,Reebok,Nano 9,Crossfit,Women,US 7,Grey,Mesh,$130.00 ,47,$249.99,Rome
318,Converse,Run Star Hike,Casual,Women,US 9,White,Canvas,$100.00 ,12,$159.99,Bari
319,Puma,RS-2K,Lifestyle,Men,US 10,White,Leather/Synthetic,$120.00 ,6,$239.99,Rome
320,Vans,Era,Skate,Women,US 6.5,Black/White,Canvas,$50.00 ,46,$179.99,Rome
321,New Balance,FuelCell Propel v3,Running,Men,US 9.5,Blue/Orange,Mesh,$100.00 ,11,$189.99,Naples
322,Asics,Gel-Kinsei OG,Running,Women,US 8.5,White/Black,Mesh,$180.00 ,37,$279.99,Florence
323,Fila,Trigate,Fashion,Men,US 9.5,White/Navy/Red,Synthetic,$60.00 ,37,$159.99,Catania
324,Skechers,Summits,Walking,Women,US 7.5,Black/Pink,Mesh,$60.00 ,62,$239.99,Catania
325,Nike,Air Force 1 Low,Casual,Men,US 9,White,Leather,$90.00 ,30,$119.99,Milan
326,Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$140.00 ,18,$199.99,Florence
327,Reebok,Zig Kinetica,Running,Men,US 11,Black,Mesh,$120.00 ,56,$179.99,Turin
328,Converse,Chuck 70,Casual,Men,US 8,Grey,Canvas,$85.00 ,4,$99.99,Milan
329,Puma,Clyde All-Pro,Basketball,Men,US 10.5,White,Leather,$130.00 ,20,$149.99,Catania
330,Vans,SK8-Hi,Skate,Women,US 7,Black/White,Suede/Canvas,$70.00 ,9,$219.99,Palermo
331,New Balance,990v2,Running,Men,US 10,Grey,Suede/Mesh,$175.00 ,29,$269.99,Milan
332,Asics,Gel-Quantum 360 6,Running,Women,US 8,Black,Mesh,$150.00 ,94,$179.99,Milan
333,Fila,Original Fitness,Casual,Men,US 9,White/Navy,Leather,$60.00 ,21,$279.99,Milan
334,Skechers,Max Cushioning Premier,Running,Men,US 8.5,Grey,Mesh,$90.00 ,6,$249.99,Bologna
335,Nike,Blazer Mid,Casual,Women,US 7.5,Red,Leather,$100.00 ,96,$199.99,Bologna
336,Adidas,Superstar,Casual,Men,US 10,White/Black,Leather,$80.00 ,49,$189.99,Naples
337,Reebok,Classic Nylon,Casual,Women,US 8,Black/White,Nylon/Suede,$65.00 ,51,$239.99,Milan
338,Converse,All Star Pro BB,Basketball,Men,US 11,Black,Canvas,$120.00 ,64,$209.99,Bari
339,Puma,Calibrate Runner,Running,Women,US 6.5,Blue,Mesh,$120.00 ,98,$209.99,Palermo
340,Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 ,64,$139.99,Bari
341,New Balance,Fresh Foam More v3,Running,Women,US 7.5,Grey,Mesh,$165.00 ,68,$209.99,Bari
342,Asics,GT-2000 10,Running,Men,US 9.5,Black,Mesh,$120.00 ,12,$269.99,Florence
343,Fila,D-Formation,Casual,Women,US 8.5,White,Leather,$70.00 ,40,$259.99,Milan
344,Skechers,Equalizer 4.0,Walking,Men,US 12,Navy,Mesh,$65.00 ,89,$199.99,Bari
345,Nike,React Infinity Run Flyknit 2,Running,Women,US 9,Purple,Flyknit,$160.00 ,97,$219.99,Rome
346,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,70,$289.99,Palermo
347,Adidas,Yeezy Boost 350 V2,Fashion,Women,US 8.5,Cream,Primeknit,$220.00 ,1,$289.99,Genoa
348,Reebok,Zig Kinetica,Running,Men,US 12,Black,Mesh,$120.00 ,87,$149.99,Bari
349,Converse,Chuck 70,Casual,Women,US 7,Egret,Canvas,$85.00 ,53,$259.99,Catania
350,Puma,Calibrate Runner,Running,Men,US 8.5,Black,Mesh,$80.00 ,40,$189.99,Florence
351,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas,$70.00 ,26,$189.99,Rome
352,New Balance,FuelCell Rebel v2,Running,Men,US 10.5,Blue,Mesh,$130.00 ,67,$199.99,Genoa
353,Asics,Gel-Quantum 90,Running,Women,US 7,Black,Mesh,$80.00 ,77,$89.99,Rome
354,Fila,Tracer,Fashion,Men,US 9.5,White/Navy,Leather/Synthetic,$65.00 ,7,$289.99,Turin
355,Skechers,D'Lites,Walking,Women,US 6.5,Black/White,Synthetic,$65.00 ,31,$139.99,Milan
356,Nike,React Infinity Run Flyknit 2,Running,Men,US 9,Black,Flyknit,$160.00 ,62,$189.99,Naples
357,Adidas,NMD_R1 V2,Casual,Women,US 6.5,Pink,Primeknit,$130.00 ,67,$249.99,Florence
358,Reebok,Club C Legacy,Casual,Men,US 11,Green,Leather,$80.00 ,37,$269.99,Bologna
359,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 ,84,$169.99,Naples
360,Puma,Clyde All-Pro,Basketball,Men,US 10,Black,Leather,$130.00 ,36,$239.99,Catania
361,Vans,Slip-On,Casual,Women,US 8.5,Black,Canvas,$50.00 ,98,$179.99,Bologna
362,New Balance,Fresh Foam Hierro v6,Trail Running,Men,US 10,Grey/Orange,Synthetic/Mesh,$135.00 ,14,$169.99,Genoa
363,Asics,GT-2000 10,Running,Women,US 9,Black/Pink,Mesh,$120.00 ,42,$149.99,Genoa
364,Fila,Ray,Fashion,Men,US 11,White,Synthetic,$65.00 ,16,$89.99,Bologna
365,Skechers,Ultra Flex 2.0,Walking,Women,US 7.5,Navy/White,Mesh,$60.00 ,8,$279.99,Rome
366,Nike,React Infinity Run,Running,Women,US 9.5,Grey/Pink,Mesh,$160.00 ,67,$209.99,Turin
367,Adidas,Ultraboost 5.0 DNA,Running,Men,US 9,White,Primeknit,$180.00 ,52,$249.99,Bari
368,Reebok,Nano X1,Training,Women,US 8.5,Black,Flexweave/Knit,$130.00 ,82,$249.99,Milan
369,Converse,Jack Purcell,Casual,Men,US 11,White,Canvas,$75.00 ,41,$289.99,Palermo
370,Puma,Calibrate Runner,Running,Men,US 10,Grey/Black,Mesh,$90.00 ,94,$139.99,Florence
371,Vans,Sk8-Hi,Skate,Women,US 7,Black/White,Canvas/Suede,$65.00 ,35,$189.99,Palermo
372,New Balance,327,Lifestyle,Men,US 8.5,Blue/Orange,Suede/Nylon,$90.00 ,67,$229.99,Bologna
373,Asics,Gel-Cumulus 23,Running,Women,US 7.5,Pink,Mesh,$120.00 ,65,$149.99,Turin
374,Fila,Trailblazer,Fashion,Men,US 9,Green/Orange,Leather/Synthetic,$80.00 ,15,$159.99,Bari
375,Skechers,Go Walk Joy,Walking,Women,US 6.5,Black,Mesh,$54.99 ,2,$99.99,Palermo
376,Nike,Blazer Mid '77,Casual,Men,US 10,White/Black,Leather,$100.00 ,43,$169.99,Turin
377,Adidas,NMD_R1,Lifestyle,Women,US 6,Pink/White,Primeknit,$130.00 ,86,$259.99,Florence
378,Reebok,Legacy Lifter,Weightlifting,Men,US 9.5,Black/Gold,Leather,$200.00 ,48,$239.99,Turin
379,Converse,Run Star Hike,Casual,Women,US 7.5,Pink,Canvas,$110.00 ,84,$139.99,Palermo
380,Puma,Wild Rider,Lifestyle,Men,US 11,Black/White,Suede/Leather,$90.00 ,57,$99.99,Milan
381,Vans,Slip-On,Casual,Women,US 8,Black/White Checkerboard,Canvas,$50.00 ,95,$179.99,Palermo
382,New Balance,Fresh Foam 1080v10,Running,Men,US 12,Black/Green,Mesh,$150.00 ,19,$289.99,Bologna
383,Asics,Gel-Quantum 360 6,Running,Women,US 9,Black/White,Mesh,$150.00 ,81,$299.99,Bologna
384,Fila,Spaghetti,Fashion,Men,US 9.5,White/Navy,Leather/Synthetic,$75.00 ,20,$159.99,Turin
385,Nike,Air Max 90,Running,Men,US 8.5,White,Leather,$120.00 ,63,$229.99,Naples
386,Adidas,NMD_R1,Lifestyle,Women,US 7,Black/Pink,Primeknit,$130.00 ,88,$209.99,Milan
387,Reebok,Nano X,Crossfit,Men,US 9,Grey,Mesh,$130.00 ,73,$209.99,Naples
388,Converse,All Star Pro BB,Basketball,Women,US 9.5,Purple,Canvas,$110.00 ,64,$149.99,Rome
389,Puma,Suede Classic,Casual,Men,US 11,Black,Suede,$65.00 ,96,$129.99,Bari
390,Vans,Sk8-Hi,Skate,Women,US 7.5,Yellow,Suede,$65.00 ,93,$129.99,Rome
391,New Balance,574,Casual,Men,US 10,Grey,Suede/Mesh,$80.00 ,55,$189.99,Palermo
392,Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Black,Mesh,$150.00 ,59,$199.99,Turin
393,Fila,Original Fitness,Fashion,Men,US 10.5,White,Leather,$65.00 ,43,$129.99,Palermo
394,Skechers,Go Run 600,Running,Women,US 6,Pink,Mesh,$60.00 ,59,$169.99,Bari
395,Nike,Air Force 1,Casual,Men,US 9.5,Grey,Leather,$90.00 ,53,$229.99,Turin
396,Adidas,Yeezy Boost 350,Lifestyle,Women,US 6.5,Cream,Primeknit,$220.00 ,16,$259.99,Naples
397,Reebok,Legacy Lifter,Weightlifting,Men,US 10.5,Black,Leather,$200.00 ,36,$229.99,Genoa
398,Converse,Pro Leather,Casual,Women,US 8.5,White/Green,Leather,$85.00 ,70,$269.99,Genoa
399,Puma,RS-X³ Puzzle,Lifestyle,Men,US 8.5,Red,Synthetic,$110.00 ,91,$259.99,Rome
400,Vans,Slip-On,Skate,Women,US 8,Black/White,Canvas,$50.00 ,93,$289.99,Palermo
401,New Balance,FuelCell Propel v3,Running,Men,US 9,Red,Mesh,$100.00 ,16,$119.99,Naples
402,Asics,Gel-Kayano 28,Running,Women,US 7.5,White/Pink,Mesh,$160.00 ,74,$209.99,Milan
403,Fila,Disruptor Low,Fashion,Men,US 9.5,White/Navy,Synthetic,$60.00 ,17,$199.99,Palermo
404,Skechers,Elite Flex,Walking,Women,US 7.5,Black,Mesh,$70.00 ,24,$149.99,Genoa
405,Nike,Air Force 1 '07,Basketball,Men,US 9.5,White,Leather,$100.00 ,62,$229.99,Rome
406,Adidas,NMD_R1,Running,Women,US 7,Grey,Primeknit,$140.00 ,14,$279.99,Palermo
407,Reebok,Aztrek Double Mix,Casual,Women,US 8,Pink/White,Suede/Mesh,$100.00 ,85,$289.99,Genoa
408,Converse,All Star Leather,Casual,Men,US 8.5,Black,Leather,$65.00 ,88,$189.99,Catania
409,Puma,Calibrate Runner,Running,Men,US 10,Blue,Mesh,$90.00 ,61,$229.99,Naples
410,Vans,SK8-Hi,Skate,Women,US 6.5,Black/White,Suede/Canvas,$70.00 ,65,$219.99,Rome
411,New Balance,Fresh Foam 880v11,Running,Men,US 11.5,Red,Mesh,$130.00 ,26,$269.99,Genoa
412,Asics,Gel-Cumulus 23,Running,Women,US 9.5,Purple,Mesh,$120.00 ,26,$159.99,Milan
413,Fila,Mindblower,Fashion,Men,US 9.5,White/Blue,Leather/Synthetic,$75.00 ,15,$99.99,Bologna
414,Skechers,Summits - Quick Lapse,Walking,Women,US 8,Black/Pink,Mesh,$60.00 ,36,$269.99,Bologna
415,Nike,Air Max 97,Running,Men,US 11.5,Black,Leather/Synthetic,$170.00 ,17,$199.99,Naples
416,Adidas,ZX 2K Boost,Casual,Women,US 7.5,White/Pink,Mesh/Synthetic,$150.00 ,62,$219.99,Catania
417,Reebok,Club C Revenge,Casual,Men,US 10,White/Green,Leather,$80.00 ,92,$239.99,Rome
418,Converse,Chuck 70 High,Casual,Women,US 6,Red,Canvas,$85.00 ,61,$269.99,Genoa
419,Puma,Cali Sport,Lifestyle,Men,US 8.5,Black/White,Leather,$80.00 ,63,$149.99,Bari
420,Vans,Slip-On,Skate,Women,US 7,Black/White,Canvas,$50.00 ,59,$89.99,Turin
421,New Balance,Fresh Foam More v2,Running,Men,US 9,Grey,Mesh,$165.00 ,18,$189.99,Bari
422,Asics,GT-2000 10,Running,Women,US 8,Blue,Mesh,$120.00 ,43,$189.99,Genoa
423,Fila,Original Fitness,Fashion,Men,US 11,White,Leather,$60.00 ,11,$199.99,Bari
424,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,3,$119.99,Palermo
425,Adidas,NMD_R1,Running,Women,US 8,Pink,Primeknit,$140.00 ,57,$259.99,Bologna
426,Reebok,Zig Kinetica,Running,Men,US 10.5,Black,Mesh,$120.00 ,81,$199.99,Milan
427,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 ,39,$119.99,Naples
428,Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black,Leather,$130.00 ,29,$259.99,Palermo
429,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas/Suede,$70.00 ,72,$149.99,Turin
430,New Balance,Fresh Foam More v3,Running,Men,US 9.5,Blue,Mesh,$165.00 ,74,$189.99,Genoa
431,Asics,Gel-Kayano Lite,Running,Women,US 7.5,Black,Mesh,$120.00 ,65,$259.99,Bari
432,Fila,Mindblower,Fashion,Men,US 9,Grey,Synthetic,$70.00 ,2,$199.99,Naples
433,Skechers,D'Lites,Lifestyle,Women,US 8.5,White,Leather/Synthetic,$65.00 ,66,$279.99,Turin
434,Nike,Air Max 95,Running,Men,US 11,Grey,Synthetic,$170.00 ,77,$269.99,Bari
435,Adidas,Superstar,Casual,Women,US 7,White/Black,Leather,$80.00 ,35,$119.99,Turin
436,Reebok,DMX Series 2K,Casual,Men,US 9.5,White/Blue,Synthetic,$90.00 ,42,$169.99,Palermo
437,Converse,All Star Lift,Casual,Women,US 6.5,Black,Canvas,$65.00 ,35,$99.99,Catania
438,Puma,Ralph Sampson,Basketball,Men,US 11,White,Leather,$80.00 ,54,$179.99,Bari
439,Vans,Era,Skate,Women,US 8.5,Red,Canvas,$55.00 ,68,$159.99,Rome
440,New Balance,FuelCell Rebel v2,Running,Men,US 10,Black,Mesh,$130.00 ,23,$269.99,Bari
441,Asics,Gel-Quantum 90,Running,Women,US 8,Black/Pink,Mesh,$80.00 ,82,$149.99,Bari
442,Fila,Original Fitness,Casual,Men,US 8.5,White/Red,Leather,$65.00 ,72,$219.99,Catania
443,Skechers,Elite Flex Wasick,Training,Women,US 7.5,Grey,Knit,$65.00 ,81,$169.99,Catania
444,Nike,React Infinity Run Flyknit,Running,Men,US 10,Blue,Flyknit,$160.00 ,53,$239.99,Naples
445,Nike,Air Force 1 '07,Casual,Men,US 9,White/Black,Leather,$90.00 ,97,$119.99,Florence
446,Adidas,Yeezy Boost 350 V2,Fashion,Women,US 8.5,Cream White,Primeknit/Synthetic,$220.00 ,75,$229.99,Catania
447,Reebok,Nano X1 Adventure,Training,Men,US 10.5,Black,Mesh/Synthetic,$130.00 ,49,$189.99,Palermo
448,Converse,Jack Purcell,Casual,Women,US 7,White,Canvas,$65.00 ,64,$239.99,Rome
449,Puma,Calibrate Runner,Running,Men,US 11,Grey,Mesh/Synthetic,$100.00 ,9,$259.99,Genoa
450,Vans,SK8-Hi,Skate,Women,US 9.5,Purple,Canvas/Suede,$70.00 ,34,$119.99,Milan
451,New Balance,FuelCell Rebel v2,Running,Men,US 9.5,Black/White,Mesh/Synthetic,$130.00 ,63,$289.99,Turin
452,Asics,Gel-Quantum 360 6,Running,Women,US 6,Pink,Mesh/Synthetic,$170.00 ,7,$269.99,Florence
453,Fila,Mindblower,Fashion,Men,US 8.5,Red/White,Synthetic/Leather,$75.00 ,7,$159.99,Genoa
454,Skechers,Max Cushioning Elite,Running,Women,US 7,Navy,Mesh/Synthetic,$110.00 ,2,$249.99,Palermo
455,Nike,Air Max 90,Running,Men,US 8,Black/White,Leather/Mesh,$120.00 ,7,$139.99,Turin
456,Adidas,NMD_R1,Fashion,Women,US 7,Grey,Knit/Synthetic,$140.00 ,59,$289.99,Bologna
457,Reebok,Nano X1 Grit,Training,Men,US 11,Grey/Black,Mesh/Synthetic,$130.00 ,52,$289.99,Naples
458,Converse,All Star,Casual,Men,US 9,Navy,Canvas,$55.00 ,87,$169.99,Rome
459,Puma,Future Rider Play On,Lifestyle,Women,US 9,Yellow,Synthetic/Textile,$80.00 ,97,$199.99,Rome
460,Vans,Era,Skate,Men,US 9.5,Black/White,Canvas,$50.00 ,18,$269.99,Rome
461,New Balance,Fresh Foam X Beacon v3,Running,Women,US 7,White/Grey,Mesh,$120.00 ,26,$209.99,Palermo
462,Asics,Gel-Kayano 27,Running,Men,US 12,Black,Mesh/Synthetic,$160.00 ,36,$269.99,Naples
463,Fila,Trigate,Fashion,Women,US 8,Pink,Synthetic/Leather,$65.00 ,43,$149.99,Rome
464,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 ,12,$109.99,Genoa
465,Adidas,Yeezy Boost 350 V2,Fashion,Women,US 7,Cream,Primeknit,$220.00 ,92,$239.99,Palermo
466,Reebok,Nano X1,CrossFit,Men,US 10,Black/White,Mesh,$130.00 ,47,$189.99,Milan
467,Converse,All Star,Casual,Women,US 8.5,Red,Canvas,$60.00 ,59,$279.99,Palermo
468,Puma,Calibrate Rest,Running,Men,US 8.5,Grey,Mesh,$100.00 ,2,$209.99,Palermo
469,Vans,Sk8-Hi,Skate,Men,US 9,Black/White,Suede/Canvas,$70.00 ,43,$289.99,Genoa
470,New Balance,327,Casual,Women,US 7,Green/White,Suede/Nylon,$90.00 ,24,$279.99,Catania
471,Asics,Gel-Cumulus 23,Running,Men,US 9,Black,Mesh,$120.00 ,84,$189.99,Rome
472,Fila,Mindblower,Fashion,Women,US 7.5,Pink,Leather,$75.00 ,49,$249.99,Naples
473,Skechers,Max Cushioning,Walking,Men,US 11,Grey,Mesh,$90.00 ,98,$159.99,Florence
474,Nike,React Infinity Run Flyknit 2,Running,Women,US 8,Blue,Flyknit,$160.00 ,2,$249.99,Palermo
475,Adidas,Ultraboost 20,Running,Men,US 9.5,White,Primeknit,$180.00 ,70,$259.99,Bari
476,Reebok,Aztrek 96,Casual,Women,US 9,Purple,Synthetic,$90.00 ,37,$229.99,Catania
477,Converse,Jack Purcell,Casual,Men,US 8.5,White,Canvas,$70.00 ,47,$89.99,Turin
478,Puma,RS-X3,Fashion,Women,US 7.5,Pink,Leather/Synthetic,$110.00 ,2,$219.99,Milan
479,Vans,Slip-On,Skate,Men,US 9.5,Checkerboard Black/White,Canvas,$50.00 ,55,$229.99,Palermo
480,New Balance,FuelCell Rebel v2,Running,Women,US 8.5,Grey/Green,Mesh,$130.00 ,92,$209.99,Turin
481,Asics,Gel-Quantum 360 6,Running,Men,US 10,Black,Mesh,$160.00 ,70,$209.99,Catania
482,Fila,D-Formation,Fashion,Women,US 6,White/Black,Leather/Synthetic,$70.00 ,2,$299.99,Rome
483,Skechers,Go Walk 5,Walking,Men,US 10,Black,Mesh,$65.00 ,90,$239.99,Catania
484,Nike,Air Max 2090,Running,Women,US 7.5,Green,Mesh,$150.00 ,16,$229.99,Naples
485,Nike,React Infinity Run,Running,Men,US 9.5,Blue/Black,Mesh,$160.00 ,13,$279.99,Naples
486,Adidas,NMD_R1,Lifestyle,Women,US 7.5,Grey,Primeknit,$130.00 ,59,$179.99,Florence
487,Reebok,Nano 9,Training,Men,US 10,Black,Flexweave,$130.00 ,88,$179.99,Turin
488,Converse,All Star Pro BB,Basketball,Women,US 8.5,White,Leather,$100.00 ,60,$269.99,Catania
489,Puma,Clyde Hardwood,Basketball,Men,US 8,Red/Black,Leather,$110.00 ,54,$279.99,Turin
490,Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,$70.00 ,8,$149.99,Catania
491,New Balance,327,Casual,Men,US 9.5,Green,Suede/Mesh,$90.00 ,1,$129.99,Milan
492,Asics,Gel-Quantum 360 6,Running,Women,US 8,Pink,Mesh/Synthetic,$160.00 ,70,$269.99,Milan
493,Fila,Mindblower,Fashion,Men,US 10,White/Red,Leather,$75.00 ,67,$269.99,Rome
494,Skechers,D'Lites,Walking,Women,US 7.5,Black,Leather/Synthetic,$60.00 ,16,$169.99,Rome
495,Nike,Blazer Mid '77,Casual,Men,US 10,White/Black,Leather,$100.00 ,61,$159.99,Catania
496,Adidas,Superstar,Casual,Women,US 8.5,White/Black,Leather,$80.00 ,16,$129.99,Turin
497,Reebok,Classic Nylon,Casual,Men,US 11,Black,Nylon/Suede,$60.00 ,29,$249.99,Bari
498,Converse,Chuck 70,Casual,Women,US 7.5,Egret,Canvas,$85.00 ,18,$289.99,Naples
499,Puma,Ralph Sampson Mid,Basketball,Men,US 9.5,White,Leather,$90.00 ,18,$229.99,Milan
500,Vans,Era,Skate,Men,US 8.5,Red,Canvas,$55.00 ,15,$129.99,Palermo
501,New Balance,FuelCell Rebel v2,Running,Women,US 7,Purple,Mesh,$130.00 ,26,$239.99,Bari
502,Asics,GT-2000 10,Running,Men,US 9.5,Grey,Mesh,$120.00 ,60,$219.99,Bologna
503,Fila,Trailblazer,Hiking,Women,US 8,Beige,Leather/Synthetic,$85.00 ,91,$169.99,Palermo
504,Skechers,Summits,Training,Men,US 11,Black,Mesh,$60.00 ,50,$159.99,Naples
505,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,46,$219.99,Florence
506,Adidas,Yeezy Boost 350 V2,Lifestyle,Men,US 10,Cream,Primeknit,$220.00 ,100,$269.99,Genoa
