index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD),Number of Items Sold,Selling Price,City
254,Adidas,NMD_R1,Casual,Women,US 8.5,Pink,Primeknit,$130.00 ,49,$209.99,Catania
255,Reebok,Floatride Energy 3,Running,Men,US 9,Black,Mesh,$100.00 ,53,$159.99,Catania
256,Converse,Chuck 70 High,Casual,Men,US 12,Green,Canvas,$85.00 ,60,$269.99,Catania
257,Puma,Calibrate Runner,Running,Women,US 9,White,Mesh,$90.00 ,92,$119.99,Naples
258,Vans,Era,Skate,Men,US 8.5,Black,Canvas,$50.00 ,65,$99.99,Bari
259,New Balance,FuelCell Rebel v2,Running,Women,US 7.5,Orange,Mesh,$130.00 ,81,$149.99,Bari
260,Asics,Gel-Cumulus 23,Running,Men,US 11,Grey,Mesh,$120.00 ,21,$239.99,Florence
261,Fila,Mindblower,Fashion,Women,US 7,White,Leather/Synthetic,$65.00 ,27,$149.99,Bari
262,Skechers,GOrun Mojo 2.0,Running,Men,US 8,Black,Mesh,$60.00 ,74,$129.99,Genoa
263,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,23,$179.99,Milan
264,Adidas,NMD_R1,Running,Women,US 8.5,Pink,Knit,$140.00 ,69,$279.99,Bologna
265,Reebok,ZigWild Trail 7,Trail,Men,US 9.5,Black,Mesh/Synthetic,$110.00 ,23,$159.99,Bologna
266,Converse,Jack Purcell,Casual,Women,US 7,Blue,Canvas,$65.00 ,100,$129.99,Turin
267,Puma,Calibrate Runner,Running,Men,US 10,Grey,Mesh,$90.00 ,20,$189.99,Florence
268,Vans,SK8-Hi,Skate,Women,US 6.5,Black/White,Canvas/Leather,$70.00 ,91,$119.99,Naples
269,New Balance,FuelCell Rebel v2,Running,Women,US 7,White/Pink,Mesh,$110.00 ,16,$159.99,Bologna
270,Asics,Gel-Kahana 8,Running,Men,US 8,Grey,Mesh,$85.00 ,29,$129.99,Naples
271,Fila,Mindblower,Fashion,Women,US 7.5,White/Pink,Leather/Synthetic,$65.00 ,12,$179.99,Milan
272,Skechers,Max Cushioning,Running,Men,US 11,Black,Mesh,$85.00 ,72,$159.99,Catania
273,Nike,Air Max 2090,Running,Men,US 12,Black,Mesh/Synthetic,$150.00 ,79,$299.99,Milan
274,Adidas,Superstar,Casual,Women,US 9.5,White/Black,Leather,$85.00 ,12,$249.99,Palermo
275,Reebok,Nano 9,Training,Men,US 10,Blue,Synthetic,$130.00 ,89,$139.99,Naples
276,Converse,Pro Leather,Casual,Men,US 9.5,White/Green,Leather,$80.00 ,2,$259.99,Florence
277,Puma,RS-X³,Lifestyle,Women,US 8.5,Pink,Mesh,$110.00 ,17,$209.99,Florence
278,Vans,Slip-On,Casual,Men,US 10.5,Black/White,Canvas,$50.00 ,24,$169.99,Turin
279,New Balance,Fresh Foam More v3,Running,Men,US 12,Black/Grey,Mesh,$165.00 ,36,$209.99,Palermo
280,Asics,GT-1000 9,Running,Women,US 6.5,Blue,Mesh,$90.00 ,63,$249.99,Palermo
281,Fila,T1 Mid,Casual,Men,US 11,White,Leather,$65.00 ,96,$249.99,Palermo
282,Skechers,Go Walk 5,Walking,Women,US 8.5,Black,Mesh,$60.00 ,43,$139.99,Bari
283,Nike,Blazer Mid '77,Casual,Men,US 8.5,Green,Leather,$100.00 ,5,$269.99,Palermo
284,Nike,Air Force 1,Casual,Men,US 9.5,White,Leather,$90.00 ,93,$179.99,Rome
285,Adidas,NMD_R1,Lifestyle,Women,US 7,Black/Pink,Knit,$140.00 ,2,$179.99,Rome
286,Reebok,Nano X1,Crossfit,Men,US 10,Black,Mesh,$130.00 ,92,$209.99,Florence
287,Converse,Chuck 70,Casual,Women,US 8.5,Ivory,Canvas,$85.00 ,31,$239.99,Catania
288,Puma,Calibrate,Running,Men,US 8.5,Grey,Mesh,$130.00 ,1,$169.99,Bari
289,Vans,SK8-Hi,Skate,Men,US 9.5,Black/White,Canvas,$70.00 ,27,$249.99,Florence
290,New Balance,574,Casual,Women,US 7,Pink,Suede,$80.00 ,73,$129.99,Palermo
291,Asics,Gel-Quantum 180 6,Running,Men,US 11,Black,Mesh,$120.00 ,70,$179.99,Turin
292,Fila,Mindblower,Fashion,Women,US 8,White,Leather/Synthetic,$65.00 ,68,$109.99,Bari
293,Skechers,Max Cushioning,Running,Women,US 7.5,Black,Mesh,$90.00 ,64,$189.99,Palermo
294,Nike,Free RN Flyknit,Running,Men,US 10,Blue,Knit,$130.00 ,50,$199.99,Turin
295,Adidas,Adizero Boston 9,Running,Women,US 6.5,Black,Mesh,$120.00 ,80,$129.99,Turin
296,Reebok,Zig Kinetica II,Running,Men,US 9,Blue,Mesh,$120.00 ,39,$289.99,Rome
297,Converse,Run Star Hike,Casual,Women,US 8.5,White,Canvas,$110.00 ,20,$289.99,Bologna
298,Puma,Ralph Sampson,Casual,Men,US 11,White/Green,Leather,$80.00 ,78,$259.99,Milan
299,Vans,Era,Skate,Women,US 7,Black,Canvas,$55.00 ,95,$159.99,Bologna
300,New Balance,990v4,Running,Men,US 10.5,Grey,Suede/Mesh,$175.00 ,75,$229.99,Palermo
301,Asics,Gel-Kayano 27,Running,Women,US 9,Black,Mesh,$160.00 ,18,$269.99,Naples
302,Fila,D-Formation,Fashion,Men,US 9,White,Leather,$70.00 ,73,$149.99,Palermo
303,Skechers,D'Lites,Walking,Women,US 8,White,Leather,$65.00 ,45,$169.99,Milan
304,Nike,Air Max 2090,Running,Men,US 9,Grey,Synthetic,$150.00 ,10,$209.99,Bari
305,Nike,Air Force 1 Low,Casual,Men,US 9.5,White,Leather,$90.00 ,85,$129.99,Bologna
306,Adidas,NMD_R1,Lifestyle,Women,US 7.5,Pink/White,Primeknit,$130.00 ,51,$269.99,Naples
307,Reebok,Zig Kinetica II,Running,Men,US 11,Black,Mesh,$120.00 ,73,$269.99,Naples
308,Converse,Chuck 70 High,Casual,Men,US 8.5,Cream,Canvas,$85.00 ,15,$189.99,Milan
309,Puma,Calibrate Runner,Running,Women,US 8,Black,Mesh,$90.00 ,3,$169.99,Milan
310,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,$70.00 ,100,$249.99,Bologna
311,New Balance,327,Lifestyle,Women,US 6.5,White/Green,Suede/Mesh,$90.00 ,51,$139.99,Milan
312,Asics,Gel-Quantum 90,Running,Men,US 10,Blue,Mesh,$90.00 ,16,$269.99,Bologna
313,Fila,Original Fitness,Fashion,Women,US 7.5,White/Navy,Leather/Synthetic,$65.00 ,94,$249.99,Milan
314,Skechers,Go Walk 5,Walking,Men,US 9,Grey,Mesh,$65.00 ,59,$289.99,Palermo
315,Nike,React Infinity Run Flyknit,Running,Women,US 8,Black,Flyknit,$160.00 ,37,$219.99,Bologna
316,Adidas,Superstar,Casual,Men,US 8.5,White/Black,Leather,$85.00 ,62,$179.99,Bari
317,Reebok,Nano 9,Crossfit,Women,US 7,Grey,Mesh,$130.00 ,63,$249.99,Milan
318,Converse,Run Star Hike,Casual,Women,US 9,White,Canvas,$100.00 ,24,$179.99,Genoa
319,Puma,RS-2K,Lifestyle,Men,US 10,White,Leather/Synthetic,$120.00 ,65,$289.99,Turin
320,Vans,Era,Skate,Women,US 6.5,Black/White,Canvas,$50.00 ,7,$299.99,Turin
321,New Balance,FuelCell Propel v3,Running,Men,US 9.5,Blue/Orange,Mesh,$100.00 ,30,$149.99,Genoa
322,Asics,Gel-Kinsei OG,Running,Women,US 8.5,White/Black,Mesh,$180.00 ,74,$299.99,Bologna
323,Fila,Trigate,Fashion,Men,US 9.5,White/Navy/Red,Synthetic,$60.00 ,35,$169.99,Catania
324,Skechers,Summits,Walking,Women,US 7.5,Black/Pink,Mesh,$60.00 ,98,$249.99,Catania
325,Nike,Air Force 1 Low,Casual,Men,US 9,White,Leather,$90.00 ,76,$109.99,Florence
326,Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$140.00 ,77,$289.99,Bologna
327,Reebok,Zig Kinetica,Running,Men,US 11,Black,Mesh,$120.00 ,82,$159.99,Genoa
328,Converse,Chuck 70,Casual,Men,US 8,Grey,Canvas,$85.00 ,3,$169.99,Catania
329,Puma,Clyde All-Pro,Basketball,Men,US 10.5,White,Leather,$130.00 ,46,$189.99,Catania
330,Vans,SK8-Hi,Skate,Women,US 7,Black/White,Suede/Canvas,$70.00 ,67,$139.99,Milan
331,New Balance,990v2,Running,Men,US 10,Grey,Suede/Mesh,$175.00 ,50,$269.99,Palermo
332,Asics,Gel-Quantum 360 6,Running,Women,US 8,Black,Mesh,$150.00 ,76,$189.99,Florence
333,Fila,Original Fitness,Casual,Men,US 9,White/Navy,Leather,$60.00 ,4,$69.99,Turin
334,Skechers,Max Cushioning Premier,Running,Men,US 8.5,Grey,Mesh,$90.00 ,33,$279.99,Genoa
335,Nike,Blazer Mid,Casual,Women,US 7.5,Red,Leather,$100.00 ,41,$199.99,Genoa
336,Adidas,Superstar,Casual,Men,US 10,White/Black,Leather,$80.00 ,23,$199.99,Palermo
337,Reebok,Classic Nylon,Casual,Women,US 8,Black/White,Nylon/Suede,$65.00 ,90,$129.99,Bologna
338,Converse,All Star Pro BB,Basketball,Men,US 11,Black,Canvas,$120.00 ,29,$279.99,Milan
339,Puma,Calibrate Runner,Running,Women,US 6.5,Blue,Mesh,$120.00 ,74,$299.99,Palermo
340,Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 ,38,$119.99,Naples
341,New Balance,Fresh Foam More v3,Running,Women,US 7.5,Grey,Mesh,$165.00 ,44,$209.99,Turin
342,Asics,GT-2000 10,Running,Men,US 9.5,Black,Mesh,$120.00 ,16,$259.99,Bari
343,Fila,D-Formation,Casual,Women,US 8.5,White,Leather,$70.00 ,14,$99.99,Bari
344,Skechers,Equalizer 4.0,Walking,Men,US 12,Navy,Mesh,$65.00 ,2,$169.99,Palermo
345,Nike,React Infinity Run Flyknit 2,Running,Women,US 9,Purple,Flyknit,$160.00 ,75,$209.99,Turin
346,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,84,$239.99,Naples
347,Adidas,Yeezy Boost 350 V2,Fashion,Women,US 8.5,Cream,Primeknit,$220.00 ,79,$259.99,Genoa
348,Reebok,Zig Kinetica,Running,Men,US 12,Black,Mesh,$120.00 ,14,$129.99,Bologna
349,Converse,Chuck 70,Casual,Women,US 7,Egret,Canvas,$85.00 ,91,$159.99,Turin
350,Puma,Calibrate Runner,Running,Men,US 8.5,Black,Mesh,$80.00 ,80,$129.99,Bari
351,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas,$70.00 ,98,$89.99,Turin
352,New Balance,FuelCell Rebel v2,Running,Men,US 10.5,Blue,Mesh,$130.00 ,51,$259.99,Milan
353,Asics,Gel-Quantum 90,Running,Women,US 7,Black,Mesh,$80.00 ,68,$89.99,Florence
354,Fila,Tracer,Fashion,Men,US 9.5,White/Navy,Leather/Synthetic,$65.00 ,47,$99.99,Palermo
355,Skechers,D'Lites,Walking,Women,US 6.5,Black/White,Synthetic,$65.00 ,84,$249.99,Genoa
356,Nike,React Infinity Run Flyknit 2,Running,Men,US 9,Black,Flyknit,$160.00 ,51,$189.99,Bari
357,Adidas,NMD_R1 V2,Casual,Women,US 6.5,Pink,Primeknit,$130.00 ,29,$229.99,Milan
358,Reebok,Club C Legacy,Casual,Men,US 11,Green,Leather,$80.00 ,49,$269.99,Bologna
359,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 ,31,$169.99,Turin
360,Puma,Clyde All-Pro,Basketball,Men,US 10,Black,Leather,$130.00 ,61,$179.99,Florence
361,Vans,Slip-On,Casual,Women,US 8.5,Black,Canvas,$50.00 ,74,$219.99,Genoa
362,New Balance,Fresh Foam Hierro v6,Trail Running,Men,US 10,Grey/Orange,Synthetic/Mesh,$135.00 ,81,$189.99,Turin
363,Asics,GT-2000 10,Running,Women,US 9,Black/Pink,Mesh,$120.00 ,85,$239.99,Bari
364,Fila,Ray,Fashion,Men,US 11,White,Synthetic,$65.00 ,63,$169.99,Rome
365,Skechers,Ultra Flex 2.0,Walking,Women,US 7.5,Navy/White,Mesh,$60.00 ,41,$219.99,Rome
366,Nike,React Infinity Run,Running,Women,US 9.5,Grey/Pink,Mesh,$160.00 ,93,$239.99,Naples
367,Adidas,Ultraboost 5.0 DNA,Running,Men,US 9,White,Primeknit,$180.00 ,83,$239.99,Naples
368,Reebok,Nano X1,Training,Women,US 8.5,Black,Flexweave/Knit,$130.00 ,54,$179.99,Bologna
369,Converse,Jack Purcell,Casual,Men,US 11,White,Canvas,$75.00 ,83,$239.99,Naples
370,Puma,Calibrate Runner,Running,Men,US 10,Grey/Black,Mesh,$90.00 ,26,$259.99,Naples
371,Vans,Sk8-Hi,Skate,Women,US 7,Black/White,Canvas/Suede,$65.00 ,29,$229.99,Turin
372,New Balance,327,Lifestyle,Men,US 8.5,Blue/Orange,Suede/Nylon,$90.00 ,56,$139.99,Bari
373,Asics,Gel-Cumulus 23,Running,Women,US 7.5,Pink,Mesh,$120.00 ,38,$159.99,Milan
374,Fila,Trailblazer,Fashion,Men,US 9,Green/Orange,Leather/Synthetic,$80.00 ,75,$279.99,Florence
375,Skechers,Go Walk Joy,Walking,Women,US 6.5,Black,Mesh,$54.99 ,41,$69.99,Bologna
376,Nike,Blazer Mid '77,Casual,Men,US 10,White/Black,Leather,$100.00 ,63,$249.99,Catania
377,Adidas,NMD_R1,Lifestyle,Women,US 6,Pink/White,Primeknit,$130.00 ,1,$159.99,Genoa
378,Reebok,Legacy Lifter,Weightlifting,Men,US 9.5,Black/Gold,Leather,$200.00 ,29,$219.99,Naples
379,Converse,Run Star Hike,Casual,Women,US 7.5,Pink,Canvas,$110.00 ,10,$289.99,Palermo
380,Puma,Wild Rider,Lifestyle,Men,US 11,Black/White,Suede/Leather,$90.00 ,12,$209.99,Palermo
381,Vans,Slip-On,Casual,Women,US 8,Black/White Checkerboard,Canvas,$50.00 ,1,$259.99,Bari
382,New Balance,Fresh Foam 1080v10,Running,Men,US 12,Black/Green,Mesh,$150.00 ,91,$269.99,Palermo
383,Asics,Gel-Quantum 360 6,Running,Women,US 9,Black/White,Mesh,$150.00 ,25,$169.99,Genoa
384,Fila,Spaghetti,Fashion,Men,US 9.5,White/Navy,Leather/Synthetic,$75.00 ,66,$259.99,Naples
385,Nike,Air Max 90,Running,Men,US 8.5,White,Leather,$120.00 ,74,$279.99,Palermo
386,Adidas,NMD_R1,Lifestyle,Women,US 7,Black/Pink,Primeknit,$130.00 ,44,$249.99,Bari
387,Reebok,Nano X,Crossfit,Men,US 9,Grey,Mesh,$130.00 ,19,$259.99,Naples
388,Converse,All Star Pro BB,Basketball,Women,US 9.5,Purple,Canvas,$110.00 ,52,$209.99,Milan
389,Puma,Suede Classic,Casual,Men,US 11,Black,Suede,$65.00 ,77,$249.99,Bologna
390,Vans,Sk8-Hi,Skate,Women,US 7.5,Yellow,Suede,$65.00 ,30,$239.99,Palermo
391,New Balance,574,Casual,Men,US 10,Grey,Suede/Mesh,$80.00 ,8,$199.99,Florence
392,Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Black,Mesh,$150.00 ,69,$239.99,Milan
393,Fila,Original Fitness,Fashion,Men,US 10.5,White,Leather,$65.00 ,23,$289.99,Naples
394,Skechers,Go Run 600,Running,Women,US 6,Pink,Mesh,$60.00 ,17,$229.99,Turin
395,Nike,Air Force 1,Casual,Men,US 9.5,Grey,Leather,$90.00 ,63,$159.99,Bari
396,Adidas,Yeezy Boost 350,Lifestyle,Women,US 6.5,Cream,Primeknit,$220.00 ,6,$279.99,Genoa
397,Reebok,Legacy Lifter,Weightlifting,Men,US 10.5,Black,Leather,$200.00 ,19,$239.99,Genoa
398,Converse,Pro Leather,Casual,Women,US 8.5,White/Green,Leather,$85.00 ,53,$119.99,Palermo
399,Puma,RS-X³ Puzzle,Lifestyle,Men,US 8.5,Red,Synthetic,$110.00 ,74,$179.99,Palermo
400,Vans,Slip-On,Skate,Women,US 8,Black/White,Canvas,$50.00 ,91,$149.99,Bologna
401,New Balance,FuelCell Propel v3,Running,Men,US 9,Red,Mesh,$100.00 ,4,$299.99,Florence
402,Asics,Gel-Kayano 28,Running,Women,US 7.5,White/Pink,Mesh,$160.00 ,99,$199.99,Palermo
403,Fila,Disruptor Low,Fashion,Men,US 9.5,White/Navy,Synthetic,$60.00 ,1,$199.99,Naples
404,Skechers,Elite Flex,Walking,Women,US 7.5,Black,Mesh,$70.00 ,12,$109.99,Milan
405,Nike,Air Force 1 '07,Basketball,Men,US 9.5,White,Leather,$100.00 ,64,$109.99,Catania
406,Adidas,NMD_R1,Running,Women,US 7,Grey,Primeknit,$140.00 ,95,$279.99,Rome
407,Reebok,Aztrek Double Mix,Casual,Women,US 8,Pink/White,Suede/Mesh,$100.00 ,53,$189.99,Milan
408,Converse,All Star Leather,Casual,Men,US 8.5,Black,Leather,$65.00 ,61,$99.99,Naples
409,Puma,Calibrate Runner,Running,Men,US 10,Blue,Mesh,$90.00 ,5,$299.99,Bologna
410,Vans,SK8-Hi,Skate,Women,US 6.5,Black/White,Suede/Canvas,$70.00 ,56,$189.99,Catania
411,New Balance,Fresh Foam 880v11,Running,Men,US 11.5,Red,Mesh,$130.00 ,63,$149.99,Palermo
412,Asics,Gel-Cumulus 23,Running,Women,US 9.5,Purple,Mesh,$120.00 ,50,$279.99,Bari
413,Fila,Mindblower,Fashion,Men,US 9.5,White/Blue,Leather/Synthetic,$75.00 ,72,$289.99,Rome
414,Skechers,Summits - Quick Lapse,Walking,Women,US 8,Black/Pink,Mesh,$60.00 ,46,$119.99,Palermo
415,Nike,Air Max 97,Running,Men,US 11.5,Black,Leather/Synthetic,$170.00 ,53,$299.99,Rome
416,Adidas,ZX 2K Boost,Casual,Women,US 7.5,White/Pink,Mesh/Synthetic,$150.00 ,68,$229.99,Turin
417,Reebok,Club C Revenge,Casual,Men,US 10,White/Green,Leather,$80.00 ,42,$179.99,Palermo
418,Converse,Chuck 70 High,Casual,Women,US 6,Red,Canvas,$85.00 ,34,$209.99,Turin
419,Puma,Cali Sport,Lifestyle,Men,US 8.5,Black/White,Leather,$80.00 ,70,$269.99,Turin
420,Vans,Slip-On,Skate,Women,US 7,Black/White,Canvas,$50.00 ,63,$239.99,Milan
421,New Balance,Fresh Foam More v2,Running,Men,US 9,Grey,Mesh,$165.00 ,89,$189.99,Florence
422,Asics,GT-2000 10,Running,Women,US 8,Blue,Mesh,$120.00 ,60,$149.99,Genoa
423,Fila,Original Fitness,Fashion,Men,US 11,White,Leather,$60.00 ,57,$289.99,Bologna
424,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,100,$179.99,Rome
425,Adidas,NMD_R1,Running,Women,US 8,Pink,Primeknit,$140.00 ,58,$259.99,Florence
426,Reebok,Zig Kinetica,Running,Men,US 10.5,Black,Mesh,$120.00 ,74,$159.99,Bologna
427,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 ,23,$209.99,Rome
428,Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black,Leather,$130.00 ,42,$259.99,Bologna
429,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas/Suede,$70.00 ,41,$219.99,Florence
430,New Balance,Fresh Foam More v3,Running,Men,US 9.5,Blue,Mesh,$165.00 ,76,$269.99,Rome
431,Asics,Gel-Kayano Lite,Running,Women,US 7.5,Black,Mesh,$120.00 ,12,$159.99,Catania
432,Fila,Mindblower,Fashion,Men,US 9,Grey,Synthetic,$70.00 ,14,$279.99,Bari
433,Skechers,D'Lites,Lifestyle,Women,US 8.5,White,Leather/Synthetic,$65.00 ,87,$129.99,Palermo
434,Nike,Air Max 95,Running,Men,US 11,Grey,Synthetic,$170.00 ,93,$269.99,Rome
435,Adidas,Superstar,Casual,Women,US 7,White/Black,Leather,$80.00 ,1,$119.99,Bari
436,Reebok,DMX Series 2K,Casual,Men,US 9.5,White/Blue,Synthetic,$90.00 ,85,$229.99,Florence
437,Converse,All Star Lift,Casual,Women,US 6.5,Black,Canvas,$65.00 ,1,$189.99,Genoa
438,Puma,Ralph Sampson,Basketball,Men,US 11,White,Leather,$80.00 ,26,$219.99,Catania
439,Vans,Era,Skate,Women,US 8.5,Red,Canvas,$55.00 ,31,$269.99,Rome
440,New Balance,FuelCell Rebel v2,Running,Men,US 10,Black,Mesh,$130.00 ,49,$259.99,Bari
441,Asics,Gel-Quantum 90,Running,Women,US 8,Black/Pink,Mesh,$80.00 ,39,$179.99,Naples
442,Fila,Original Fitness,Casual,Men,US 8.5,White/Red,Leather,$65.00 ,78,$299.99,Bari
443,Skechers,Elite Flex Wasick,Training,Women,US 7.5,Grey,Knit,$65.00 ,76,$269.99,Bologna
444,Nike,React Infinity Run Flyknit,Running,Men,US 10,Blue,Flyknit,$160.00 ,3,$279.99,Florence
445,Nike,Air Force 1 '07,Casual,Men,US 9,White/Black,Leather,$90.00 ,73,$249.99,Turin
446,Adidas,Yeezy Boost 350 V2,Fashion,Women,US 8.5,Cream White,Primeknit/Synthetic,$220.00 ,84,$269.99,Turin
447,Reebok,Nano X1 Adventure,Training,Men,US 10.5,Black,Mesh/Synthetic,$130.00 ,9,$289.99,Catania
448,Converse,Jack Purcell,Casual,Women,US 7,White,Canvas,$65.00 ,39,$219.99,Catania
449,Puma,Calibrate Runner,Running,Men,US 11,Grey,Mesh/Synthetic,$100.00 ,79,$189.99,Bologna
450,Vans,SK8-Hi,Skate,Women,US 9.5,Purple,Canvas/Suede,$70.00 ,17,$159.99,Turin
451,New Balance,FuelCell Rebel v2,Running,Men,US 9.5,Black/White,Mesh/Synthetic,$130.00 ,73,$199.99,Palermo
452,Asics,Gel-Quantum 360 6,Running,Women,US 6,Pink,Mesh/Synthetic,$170.00 ,40,$239.99,Genoa
453,Fila,Mindblower,Fashion,Men,US 8.5,Red/White,Synthetic/Leather,$75.00 ,97,$159.99,Palermo
454,Skechers,Max Cushioning Elite,Running,Women,US 7,Navy,Mesh/Synthetic,$110.00 ,74,$209.99,Florence
455,Nike,Air Max 90,Running,Men,US 8,Black/White,Leather/Mesh,$120.00 ,74,$129.99,Rome
456,Adidas,NMD_R1,Fashion,Women,US 7,Grey,Knit/Synthetic,$140.00 ,60,$189.99,Florence
457,Reebok,Nano X1 Grit,Training,Men,US 11,Grey/Black,Mesh/Synthetic,$130.00 ,4,$219.99,Florence
458,Converse,All Star,Casual,Men,US 9,Navy,Canvas,$55.00 ,21,$169.99,Bologna
459,Puma,Future Rider Play On,Lifestyle,Women,US 9,Yellow,Synthetic/Textile,$80.00 ,35,$249.99,Bari
460,Vans,Era,Skate,Men,US 9.5,Black/White,Canvas,$50.00 ,10,$179.99,Milan
461,New Balance,Fresh Foam X Beacon v3,Running,Women,US 7,White/Grey,Mesh,$120.00 ,13,$159.99,Catania
462,Asics,Gel-Kayano 27,Running,Men,US 12,Black,Mesh/Synthetic,$160.00 ,99,$269.99,Bologna
463,Fila,Trigate,Fashion,Women,US 8,Pink,Synthetic/Leather,$65.00 ,71,$139.99,Catania
464,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 ,53,$189.99,Naples
465,Adidas,Yeezy Boost 350 V2,Fashion,Women,US 7,Cream,Primeknit,$220.00 ,31,$269.99,Naples
466,Reebok,Nano X1,CrossFit,Men,US 10,Black/White,Mesh,$130.00 ,13,$279.99,Catania
467,Converse,All Star,Casual,Women,US 8.5,Red,Canvas,$60.00 ,6,$269.99,Milan
468,Puma,Calibrate Rest,Running,Men,US 8.5,Grey,Mesh,$100.00 ,56,$209.99,Milan
469,Vans,Sk8-Hi,Skate,Men,US 9,Black/White,Suede/Canvas,$70.00 ,58,$149.99,Naples
470,New Balance,327,Casual,Women,US 7,Green/White,Suede/Nylon,$90.00 ,87,$109.99,Naples
471,Asics,Gel-Cumulus 23,Running,Men,US 9,Black,Mesh,$120.00 ,77,$209.99,Bari
472,Fila,Mindblower,Fashion,Women,US 7.5,Pink,Leather,$75.00 ,36,$289.99,Rome
473,Skechers,Max Cushioning,Walking,Men,US 11,Grey,Mesh,$90.00 ,65,$159.99,Florence
474,Nike,React Infinity Run Flyknit 2,Running,Women,US 8,Blue,Flyknit,$160.00 ,24,$299.99,Florence
475,Adidas,Ultraboost 20,Running,Men,US 9.5,White,Primeknit,$180.00 ,57,$269.99,Bari
476,Reebok,Aztrek 96,Casual,Women,US 9,Purple,Synthetic,$90.00 ,59,$119.99,Catania
477,Converse,Jack Purcell,Casual,Men,US 8.5,White,Canvas,$70.00 ,86,$129.99,Milan
478,Puma,RS-X3,Fashion,Women,US 7.5,Pink,Leather/Synthetic,$110.00 ,49,$249.99,Catania
479,Vans,Slip-On,Skate,Men,US 9.5,Checkerboard Black/White,Canvas,$50.00 ,18,$229.99,Palermo
480,New Balance,FuelCell Rebel v2,Running,Women,US 8.5,Grey/Green,Mesh,$130.00 ,8,$279.99,Rome
481,Asics,Gel-Quantum 360 6,Running,Men,US 10,Black,Mesh,$160.00 ,21,$189.99,Milan
482,Fila,D-Formation,Fashion,Women,US 6,White/Black,Leather/Synthetic,$70.00 ,46,$119.99,Milan
483,Skechers,Go Walk 5,Walking,Men,US 10,Black,Mesh,$65.00 ,29,$129.99,Milan
484,Nike,Air Max 2090,Running,Women,US 7.5,Green,Mesh,$150.00 ,6,$279.99,Bologna
485,Nike,React Infinity Run,Running,Men,US 9.5,Blue/Black,Mesh,$160.00 ,71,$179.99,Turin
486,Adidas,NMD_R1,Lifestyle,Women,US 7.5,Grey,Primeknit,$130.00 ,72,$209.99,Palermo
487,Reebok,Nano 9,Training,Men,US 10,Black,Flexweave,$130.00 ,90,$219.99,Milan
488,Converse,All Star Pro BB,Basketball,Women,US 8.5,White,Leather,$100.00 ,99,$219.99,Florence
489,Puma,Clyde Hardwood,Basketball,Men,US 8,Red/Black,Leather,$110.00 ,79,$299.99,Palermo
490,Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,$70.00 ,46,$289.99,Bologna
491,New Balance,327,Casual,Men,US 9.5,Green,Suede/Mesh,$90.00 ,82,$119.99,Turin
492,Asics,Gel-Quantum 360 6,Running,Women,US 8,Pink,Mesh/Synthetic,$160.00 ,80,$239.99,Genoa
493,Fila,Mindblower,Fashion,Men,US 10,White/Red,Leather,$75.00 ,40,$229.99,Palermo
494,Skechers,D'Lites,Walking,Women,US 7.5,Black,Leather/Synthetic,$60.00 ,44,$89.99,Florence
495,Nike,Blazer Mid '77,Casual,Men,US 10,White/Black,Leather,$100.00 ,1,$189.99,Rome
496,Adidas,Superstar,Casual,Women,US 8.5,White/Black,Leather,$80.00 ,72,$189.99,Milan
497,Reebok,Classic Nylon,Casual,Men,US 11,Black,Nylon/Suede,$60.00 ,65,$239.99,Bologna
498,Converse,Chuck 70,Casual,Women,US 7.5,Egret,Canvas,$85.00 ,42,$139.99,Florence
499,Puma,Ralph Sampson Mid,Basketball,Men,US 9.5,White,Leather,$90.00 ,69,$239.99,Florence
500,Vans,Era,Skate,Men,US 8.5,Red,Canvas,$55.00 ,21,$129.99,Florence
501,New Balance,FuelCell Rebel v2,Running,Women,US 7,Purple,Mesh,$130.00 ,70,$289.99,Naples
502,Asics,GT-2000 10,Running,Men,US 9.5,Grey,Mesh,$120.00 ,48,$159.99,Bologna
503,Fila,Trailblazer,Hiking,Women,US 8,Beige,Leather/Synthetic,$85.00 ,25,$199.99,Milan
504,Skechers,Summits,Training,Men,US 11,Black,Mesh,$60.00 ,34,$179.99,Catania
505,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,38,$159.99,Bologna
506,Adidas,Yeezy Boost 350 V2,Lifestyle,Men,US 10,Cream,Primeknit,$220.00 ,43,$279.99,Milan
